hospital_name,__key,detail_url,detail_name,detail_address,detail_city,detail_state,detail_zip,detail_phone,detail_hospital_type,detail_emergency_services,detail_mortality_overall_text,detail_mortality_overall_percent,detail_mortality_overall_direction,detail_mortality_heart_attack_percent,detail_mortality_stroke_percent,detail_mortality_heart_failure_percent,detail_mortality_pneumonia_percent,detail_c_diff_cases,detail_mrsa_cases,detail_avg_time_in_ed_minutes,detail_overall_patient_rating,detail_positive_patient_ratings,detail_negative_patient_ratings,State,County,ed_minutes_rating,detail_overall_patient_rating_points,mortality_overall_contribution,total_quality_points,adj_total_heartattack,adj_total_stroke,adj_total_heartfailure,adj_total_pneu
Ssm Health St Mary's Hospital - Madison,ssm health st marys hospital - madison,https://www.hospitalstats.org/hospital-ratings/ssm-health-st-marys-hospital--madison-madison-wi.htm,Ssm Health St Mary's Hospital - Madison Ratings,700 South Park St,Madison,WI,53715,(608) 251-6100,Acute Care Hospitals,YES,0% worse,0.0,worse,12.1,12.6,13.4,18.4,7.0,3.0,167.0,AVERAGE,Nurses usually take time to communicate well; Rooms and facilities are usually clean,Staff doesn't respond quickly when patients need help; Patients often don't receive help when they request it,WI,Dane,wait time rating not available,7,0% worse (±0),7,5,5,5,4
University Of Wi  Hospitals & Clinics Authority,university of wi hospitals & clinics authority,https://www.hospitalstats.org/hospital-ratings/university-of-wi-hospitals-clinics-authority-madison-wi.htm,University Of Wi Hospitals & Clinics Authority Ratings,600 Highland Avenue,Madison,WI,53792,(608) 263-6400,Acute Care Hospitals,YES,16% better,16.0,better,10.9,12.9,9.3,15.8,92.0,2.0,217.0,VERY GOOD,Nurses usually take time to communicate well,Staff doesn't respond quickly when patients need help; Patients often don't receive help when they request it; Facilities are sometimes dirty,WI,Dane,wait time rating not available,10,16% better (±1),11,9,9,10,8
Madison Va Medical Center,madison va medical center,https://www.hospitalstats.org/hospital-ratings/madison-va-medical-center-madison-wi.htm,Madison Va Medical Center Ratings,2500 Overlook Terrace,Madison,WI,53705,(608) 256-1901,Acute Care - Veterans Administration,YES,22% better,22.0,better,11.8,,10.1,12.9,,,0.0,VERY GOOD,Nurses usually respond quickly when patients need help; Patients usually receive help when they request it,,WI,Dane,wait time rating not available,10,22% better (±1),11,9,"no data for specific chief complaint, quality point remains at 11",9,9
Watertown Memorial Hospital,watertown memorial hospital,https://www.hospitalstats.org/hospital-ratings/watertown-memorial-hospital-watertown-wi.htm,Watertown Memorial Hospital Ratings,125 Hospital Drive,Watertown,WI,53098,(920) 261-4210,Acute Care Hospitals,YES,6% worse,6.0,worse,12.3,14.9,14.8,17.8,2.0,0.0,132.0,AVERAGE,Nurses usually respond quickly when patients need help; Patients usually receive help when they request it; Rooms and facilities are usually clean,,WI,Dodge,wait time rating not available,7,6% worse (±0),7,5,5,5,4
Marshfield Medical Center - Beaver Dam (Mmc-Bd),marshfield medical center - beaver dam (mmc-bd),https://www.hospitalstats.org/hospital-ratings/marshfield-medical-center--beaver-dam-mmc-bd-beaver-dam-wi.htm,Marshfield Medical Center - Beaver Dam (Mmc-Bd) Ratings,707 S University Ave,Beaver Dam,WI,53916,(920) 887-7181,Acute Care Hospitals,YES,25% worse,25.0,worse,,,17.6,22.6,1.0,0.0,190.0,AVERAGE,Nurses usually respond quickly when patients need help; Nurses usually take time to communicate well; Doctors usually communicate well with patients; Patients usually receive help when they request it; Rooms and facilities are usually clean,,WI,Dodge,wait time rating not available,7,25% worse (±1),6,"no data for specific chief complaint, quality point remains at 6","no data for specific chief complaint, quality point remains at 6",3,2
Door County Medical Center,door county medical center,https://www.hospitalstats.org/hospital-ratings/door-county-medical-center-sturgeon-bay-wi.htm,Door County Medical Center Ratings,323 South 18th Avenue,Sturgeon Bay,WI,54235,(920) 743-5566,Critical Access Hospitals,YES,2% better,2.0,better,,,11.1,18.4,1.0,0.0,157.0,VERY GOOD,,,WI,Door,wait time rating not available,10,2% better (±0),10,"no data for specific chief complaint, quality point remains at 10","no data for specific chief complaint, quality point remains at 10",8,7
St Marys Hospital Superior,st marys hospital superior,https://www.hospitalstats.org/hospital-ratings/st-marys-hospital-superior-superior-wi.htm,St Marys Hospital Superior Ratings,3500 Tower Ave,Superior,WI,54880,(715) 817-7000,Critical Access Hospitals,YES,,,,,,,,2.0,0.0,127.0,VERY GOOD,Nurses usually take time to communicate well,Staff doesn't respond quickly when patients need help; Patients often don't receive help when they request it,WI,Douglas,wait time rating not available,10,mortality not used,10,"no data for specific chief complaint, quality point remains at 10","no data for specific chief complaint, quality point remains at 10","no data for specific chief complaint, quality point remains at 10","no data for specific chief complaint, quality point remains at 10"
Mayo Clinic Health System-Red Cedar Inc,mayo clinic health system-red cedar inc,https://www.hospitalstats.org/hospital-ratings/mayo-clinic-health-system-red-cedar-inc-menomonie-wi.htm,Mayo Clinic Health System-Red Cedar Inc Ratings,2321 Stout Rd,Menomonie,WI,54751,(715) 233-7444,Critical Access Hospitals,YES,4% worse,4.0,worse,,,12.0,19.1,1.0,0.0,135.0,VERY GOOD,Nurses usually respond quickly when patients need help; Patients usually receive help when they request it; Rooms were often quiet at night,,WI,Dunn,wait time rating not available,10,4% worse (±0),10,"no data for specific chief complaint, quality point remains at 10","no data for specific chief complaint, quality point remains at 10",8,7
Marshfield Medical Center - Eau Claire,marshfield medical center - eau claire,https://www.hospitalstats.org/hospital-ratings/marshfield-medical-center--eau-claire-eau-claire-wi.htm,Marshfield Medical Center - Eau Claire Ratings,2310 Craig Rd,Eau Claire,WI,54701,(715) 858-8100,Acute Care Hospitals,YES,2% better,2.0,better,12.3,13.5,11.8,17.7,9.0,0.0,162.0,AVERAGE,Nurses usually take time to communicate well; Doctors usually communicate well with patients; Rooms and facilities are usually clean,Staff doesn't respond quickly when patients need help; Patients often don't receive help when they request it,WI,Eau Claire,wait time rating not available,7,2% better (±0),7,5,5,5,4
Sacred Heart Hospital,sacred heart hospital,https://www.hospitalstats.org/hospital-ratings/sacred-heart-hospital-eau-claire-wi.htm,Sacred Heart Hospital Ratings,900 W Clairemont Ave,Eau Claire,WI,54701,(715) 717-4121,Acute Care Hospitals,YES,1% better,1.0,better,12.2,15.3,12.2,16.2,5.0,0.0,178.0,AVERAGE,Nurses usually take time to communicate well; Doctors usually communicate well with patients; Rooms and facilities are usually clean,Staff doesn't respond quickly when patients need help; Patients often don't receive help when they request it,WI,Eau Claire,wait time rating not available,7,1% better (±0),7,5,4,5,4
Mayo Clinic Health System Eau Claire Hospital,mayo clinic health system eau claire hospital,https://www.hospitalstats.org/hospital-ratings/mayo-clinic-health-system-eau-claire-hospital-eau-claire-wi.htm,Mayo Clinic Health System Eau Claire Hospital Ratings,1221 Whipple St,Eau Claire,WI,54703,(715) 838-3311,Acute Care Hospitals,YES,15% better,15.0,better,11.1,11.3,9.8,16.9,9.0,0.0,181.0,VERY GOOD,Rooms and facilities are usually clean,Staff doesn't respond quickly when patients need help; Patients often don't receive help when they request it,WI,Eau Claire,wait time rating not available,10,15% better (±1),11,9,9,10,8
Ripon Medical Center,ripon medical center,https://www.hospitalstats.org/hospital-ratings/ripon-medical-center-ripon-wi.htm,Ripon Medical Center Ratings,845 Parkside St,Ripon,WI,54971,(920) 748-3101,Critical Access Hospitals,YES,,,,,,,,0.0,0.0,142.0,POOR,Nurses usually respond quickly when patients need help; Patients usually receive help when they request it; Rooms were often quiet at night,,WI,Fond Du Lac,wait time rating not available,5,mortality not used,5,"no data for specific chief complaint, quality point remains at 5","no data for specific chief complaint, quality point remains at 5","no data for specific chief complaint, quality point remains at 5","no data for specific chief complaint, quality point remains at 5"
Waupun Memorial Hospital,waupun memorial hospital,https://www.hospitalstats.org/hospital-ratings/waupun-memorial-hospital-waupun-wi.htm,Waupun Memorial Hospital Ratings,620 W Brown St,Waupun,WI,53963,(920) 324-6512,Critical Access Hospitals,YES,,,,,,,,0.0,0.0,150.0,VERY GOOD,Rooms and facilities are usually clean; Rooms were often quiet at night,,WI,Fond Du Lac,wait time rating not available,10,mortality not used,10,"no data for specific chief complaint, quality point remains at 10","no data for specific chief complaint, quality point remains at 10","no data for specific chief complaint, quality point remains at 10","no data for specific chief complaint, quality point remains at 10"
St. Agnes Hospital Hospice,st. agnes hospital hospice,https://www.hospitalstats.org/hospital-ratings/st-agnes-hospital-hospice-fond-du-lac-wi.htm,St. Agnes Hospital Hospice Ratings,430 E Division St,Fond Du Lac,WI,54935,(920) 929-2300,Acute Care Hospitals,YES,3% worse,3.0,worse,10.6,14.5,13.6,19.5,6.0,0.0,163.0,AVERAGE,Nurses usually take time to communicate well; Doctors usually communicate well with patients; Rooms and facilities are usually clean,Staff doesn't respond quickly when patients need help; Patients often don't receive help when they request it,WI,Fond Du Lac,wait time rating not available,7,3% worse (±0),7,5,5,5,4
Fond Du Lac County Acute Psych Unit,fond du lac county acute psych unit,https://www.hospitalstats.org/hospital-ratings/fond-du-lac-county-acute-psych-unit-fond-du-lac-wi.htm,Fond Du Lac County Acute Psych Unit Ratings,459 E First St,Fond Du Lac,WI,54935,(920) 929-3500,Psychiatric,YES,,,,,,,,,,0.0,POOR,,Staff doesn't respond quickly when patients need help; Nurses often fail to communicate; Doctors often fail to communicate with patients; Patients often don't receive help when they request it; Facilities are sometimes dirty,WI,Fond Du Lac,wait time rating not available,5,mortality not used,5,"no data for specific chief complaint, quality point remains at 5","no data for specific chief complaint, quality point remains at 5","no data for specific chief complaint, quality point remains at 5","no data for specific chief complaint, quality point remains at 5"
Southwest Health Center,southwest health center,https://www.hospitalstats.org/hospital-ratings/southwest-health-center-platteville-wi.htm,Southwest Health Center Ratings,1400 East Side Rd,Platteville,WI,53818,(608) 348-2331,Critical Access Hospitals,YES,,,,,,,,2.0,1.0,98.0,VERY GOOD,Rooms were often quiet at night,,WI,Grant,wait time rating not available,10,mortality not used,10,"no data for specific chief complaint, quality point remains at 10","no data for specific chief complaint, quality point remains at 10","no data for specific chief complaint, quality point remains at 10","no data for specific chief complaint, quality point remains at 10"
Gundersen Boscobel Area Hospital And Clinics,gundersen boscobel area hospital and clinics,https://www.hospitalstats.org/hospital-ratings/gundersen-boscobel-area-hospital-and-clinics-boscobel-wi.htm,Gundersen Boscobel Area Hospital And Clinics Ratings,205 Parker St,Boscobel,WI,53805,(608) 375-6115,Critical Access Hospitals,YES,,,,,,,,0.0,0.0,109.0,POOR,Nurses usually respond quickly when patients need help; Patients usually receive help when they request it; Rooms were often quiet at night,,WI,Grant,wait time rating not available,5,mortality not used,5,"no data for specific chief complaint, quality point remains at 5","no data for specific chief complaint, quality point remains at 5","no data for specific chief complaint, quality point remains at 5","no data for specific chief complaint, quality point remains at 5"
Grant Regional Health Center,grant regional health center,https://www.hospitalstats.org/hospital-ratings/grant-regional-health-center-lancaster-wi.htm,Grant Regional Health Center Ratings,507 S Monroe St,Lancaster,WI,53813,(608) 723-2143,Critical Access Hospitals,YES,15% worse,15.0,worse,,,,21.3,0.0,0.0,141.0,VERY GOOD,Nurses usually respond quickly when patients need help; Nurses usually take time to communicate well; Patients usually receive help when they request it,,WI,Grant,wait time rating not available,10,15% worse (±1),9,"no data for specific chief complaint, quality point remains at 9","no data for specific chief complaint, quality point remains at 9","no data for specific chief complaint, quality point remains at 9",5
The Monroe Clinic,the monroe clinic,https://www.hospitalstats.org/hospital-ratings/the-monroe-clinic-monroe-wi.htm,The Monroe Clinic Ratings,515 22nd Ave,Monroe,WI,53566,(608) 324-1000,Acute Care Hospitals,YES,7% worse,7.0,worse,11.6,15.7,14.0,19.7,1.0,0.0,132.0,VERY GOOD,,Staff doesn't respond quickly when patients need help; Patients often don't receive help when they request it; Facilities are sometimes dirty,WI,Green,wait time rating not available,10,7% worse (±0),10,8,7,8,7
Berlin Memorial Hospital,berlin memorial hospital,https://www.hospitalstats.org/hospital-ratings/berlin-memorial-hospital-berlin-wi.htm,Berlin Memorial Hospital Ratings,225 Memorial Drive,Berlin,WI,54923,(920) 361-1313,Critical Access Hospitals,YES,13% worse,13.0,worse,,,14.6,19.9,1.0,0.0,108.0,AVERAGE,Nurses usually respond quickly when patients need help; Patients usually receive help when they request it,Facilities are sometimes dirty,WI,Green Lake,wait time rating not available,7,13% worse (±1),6,"no data for specific chief complaint, quality point remains at 6","no data for specific chief complaint, quality point remains at 6",4,3
Upland Hills Health,upland hills health,https://www.hospitalstats.org/hospital-ratings/upland-hills-health-dodgeville-wi.htm,Upland Hills Health Ratings,800 Compassion Way,Dodgeville,WI,53533,(608) 930-8000,Critical Access Hospitals,YES,11% worse,11.0,worse,,,14.0,19.8,2.0,0.0,116.0,VERY GOOD,Nurses usually respond quickly when patients need help; Patients usually receive help when they request it,,WI,Iowa,wait time rating not available,10,11% worse (±1),9,"no data for specific chief complaint, quality point remains at 9","no data for specific chief complaint, quality point remains at 9",7,6
Black River Memorial Hospital,black river memorial hospital,https://www.hospitalstats.org/hospital-ratings/black-river-memorial-hospital-black-river-falls-wi.htm,Black River Memorial Hospital Ratings,711 W Adams St,Black River Falls,WI,54615,(715) 284-5361,Critical Access Hospitals,YES,9% worse,9.0,worse,,,13.0,,2.0,0.0,91.0,VERY GOOD,Nurses usually respond quickly when patients need help; Nurses usually take time to communicate well; Patients usually receive help when they request it,,WI,Jackson,wait time rating not available,10,9% worse (±0),10,"no data for specific chief complaint, quality point remains at 10","no data for specific chief complaint, quality point remains at 10",8,"no data for specific chief complaint, quality point remains at 10"
Fort Memorial Hospital,fort memorial hospital,https://www.hospitalstats.org/hospital-ratings/fort-memorial-hospital-fort-atkinson-wi.htm,Fort Memorial Hospital Ratings,611 Sherman Ave E,Fort Atkinson,WI,53538,(920) 568-5000,Acute Care Hospitals,YES,12% worse,12.0,worse,,,13.7,20.5,4.0,0.0,138.0,AVERAGE,Doctors usually communicate well with patients,Staff doesn't respond quickly when patients need help; Patients often don't receive help when they request it; Facilities are sometimes dirty,WI,Jefferson,wait time rating not available,7,12% worse (±1),6,"no data for specific chief complaint, quality point remains at 6","no data for specific chief complaint, quality point remains at 6",4,2
Mile Bluff Medical Center,mile bluff medical center,https://www.hospitalstats.org/hospital-ratings/mile-bluff-medical-center-mauston-wi.htm,Mile Bluff Medical Center Ratings,1050 Division St,Mauston,WI,53948,(608) 847-6161,Acute Care Hospitals,YES,15% worse,15.0,worse,,,14.0,21.1,1.0,0.0,157.0,VERY GOOD,Nurses usually respond quickly when patients need help; Nurses usually take time to communicate well; Patients usually receive help when they request it; Rooms and facilities are usually clean,,WI,Juneau,wait time rating not available,10,15% worse (±1),9,"no data for specific chief complaint, quality point remains at 9","no data for specific chief complaint, quality point remains at 9",7,5
Aurora Medical Center Kenosha,aurora medical center kenosha,https://www.hospitalstats.org/hospital-ratings/aurora-medical-center-kenosha-kenosha-wi.htm,Aurora Medical Center Kenosha Ratings,10400 75th St,Kenosha,WI,53142,(262) 948-5600,Acute Care Hospitals,YES,2% worse,2.0,worse,13.7,12.7,11.5,19.8,11.0,0.0,169.0,AVERAGE,Nurses usually take time to communicate well; Rooms and facilities are usually clean,Staff doesn't respond quickly when patients need help; Patients often don't receive help when they request it,WI,Kenosha,wait time rating not available,7,2% worse (±0),7,5,5,5,4
Froedtert South Inc.,froedtert south inc.,https://www.hospitalstats.org/hospital-ratings/froedtert-south-inc-pleasant-prairie-wi.htm,Froedtert South Inc. Ratings,9555 76th St,Pleasant Prairie,WI,53158,(262) 656-2011,Acute Care Hospitals,YES,16% worse,16.0,worse,13.4,16.2,13.2,24.8,34.0,2.0,176.0,AVERAGE,Nurses usually take time to communicate well; Doctors usually communicate well with patients,Staff doesn't respond quickly when patients need help; Patients often don't receive help when they request it; Facilities are sometimes dirty,WI,Kenosha,wait time rating not available,7,16% worse (±1),6,4,3,4,2
Mayo Clinic Health System-Franciscan Medical Center Inc,mayo clinic health system-franciscan medical center inc,https://www.hospitalstats.org/hospital-ratings/mayo-clinic-health-system-franciscan-medical-center-inc-la-crosse-wi.htm,Mayo Clinic Health System-Franciscan Medical Center Inc Ratings,700 West Avenue South,La Crosse,WI,54601,(608) 785-0940,Acute Care Hospitals,YES,2% better,2.0,better,10.9,13.1,15.3,16.2,2.0,1.0,115.0,VERY GOOD,Rooms and facilities are usually clean,Staff doesn't respond quickly when patients need help; Patients often don't receive help when they request it,WI,La Crosse,wait time rating not available,10,2% better (±0),10,8,8,7,7
Gundersen Lutheran Medical Center,gundersen lutheran medical center,https://www.hospitalstats.org/hospital-ratings/gundersen-lutheran-medical-center-la-crosse-wi.htm,Gundersen Lutheran Medical Center Ratings,1910 South Ave,La Crosse,WI,54601,(608) 782-7300,Acute Care Hospitals,YES,8% worse,8.0,worse,12.1,14.4,15.9,18.9,35.0,1.0,158.0,VERY GOOD,Nurses usually respond quickly when patients need help; Doctors usually communicate well with patients; Patients usually receive help when they request it,Facilities are sometimes dirty,WI,La Crosse,wait time rating not available,10,8% worse (±0),10,8,8,7,7
Memorial Hospital Of Lafayette County,memorial hospital of lafayette county,https://www.hospitalstats.org/hospital-ratings/memorial-hospital-of-lafayette-county-darlington-wi.htm,Memorial Hospital Of Lafayette County Ratings,800 Clay St,Darlington,WI,53530,(608) 776-4466,Critical Access Hospitals,YES,,,,,,,,0.0,0.0,94.0,POOR,Rooms were often quiet at night,,WI,Lafayette,wait time rating not available,5,mortality not used,5,"no data for specific chief complaint, quality point remains at 5","no data for specific chief complaint, quality point remains at 5","no data for specific chief complaint, quality point remains at 5","no data for specific chief complaint, quality point remains at 5"
Langlade Hospital,langlade hospital,https://www.hospitalstats.org/hospital-ratings/langlade-hospital-antigo-wi.htm,Langlade Hospital Ratings,112 E Fifth Ave,Antigo,WI,54409,(715) 623-2331,Critical Access Hospitals,YES,8% worse,8.0,worse,,,14.2,18.5,3.0,0.0,141.0,VERY GOOD,Nurses usually respond quickly when patients need help; Nurses usually take time to communicate well; Doctors usually communicate well with patients; Patients usually receive help when they request it; Rooms and facilities are usually clean,,WI,Langlade,wait time rating not available,10,8% worse (±0),10,"no data for specific chief complaint, quality point remains at 10","no data for specific chief complaint, quality point remains at 10",8,7
Aspirus Tomahawk Hospital,aspirus tomahawk hospital,https://www.hospitalstats.org/hospital-ratings/aspirus-tomahawk-hospital-tomahawk-wi.htm,Aspirus Tomahawk Hospital Ratings,401 W Mohawk Dr Suite 100,Tomahawk,WI,54487,(715) 453-7700,Critical Access Hospitals,YES,,,,,,,,0.0,0.0,99.0,POOR,,Staff doesn't respond quickly when patients need help; Nurses often fail to communicate; Doctors often fail to communicate with patients; Patients often don't receive help when they request it; Facilities are sometimes dirty,WI,Lincoln,wait time rating not available,5,mortality not used,5,"no data for specific chief complaint, quality point remains at 5","no data for specific chief complaint, quality point remains at 5","no data for specific chief complaint, quality point remains at 5","no data for specific chief complaint, quality point remains at 5"
Aspirus Merrill Hospital,aspirus merrill hospital,https://www.hospitalstats.org/hospital-ratings/aspirus-merrill-hospital-merrill-wi.htm,Aspirus Merrill Hospital Ratings,601 S Center Ave,Merrill,WI,54452,(715) 536-5511,Critical Access Hospitals,YES,6% better,6.0,better,,,,17.2,0.0,0.0,133.0,POOR,Nurses usually respond quickly when patients need help; Nurses usually take time to communicate well; Doctors usually communicate well with patients; Patients usually receive help when they request it; Rooms and facilities are usually clean,,WI,Lincoln,wait time rating not available,5,6% better (±0),5,"no data for specific chief complaint, quality point remains at 5","no data for specific chief complaint, quality point remains at 5","no data for specific chief complaint, quality point remains at 5",2
Aurora Medical Ctr Manitowoc County,aurora medical ctr manitowoc county,https://www.hospitalstats.org/hospital-ratings/aurora-medical-ctr-manitowoc-county-two-rivers-wi.htm,Aurora Medical Ctr Manitowoc County Ratings,5000 Memorial Drive,Two Rivers,WI,54241,(920) 794-5000,Acute Care Hospitals,YES,2% better,2.0,better,,,13.5,16.0,0.0,0.0,116.0,VERY GOOD,Doctors usually communicate well with patients,Staff doesn't respond quickly when patients need help; Patients often don't receive help when they request it,WI,Manitowoc,wait time rating not available,10,2% better (±0),10,"no data for specific chief complaint, quality point remains at 10","no data for specific chief complaint, quality point remains at 10",8,7
Holy Family Memorial,holy family memorial,https://www.hospitalstats.org/hospital-ratings/holy-family-memorial-manitowoc-wi.htm,Holy Family Memorial Ratings,2300 Western Ave,Manitowoc,WI,54221,(920) 320-2011,Acute Care Hospitals,YES,2% worse,2.0,worse,,,12.0,18.7,2.0,0.0,123.0,AVERAGE,Nurses usually take time to communicate well; Doctors usually communicate well with patients,Staff doesn't respond quickly when patients need help; Patients often don't receive help when they request it; Facilities are sometimes dirty,WI,Manitowoc,wait time rating not available,7,2% worse (±0),7,"no data for specific chief complaint, quality point remains at 7","no data for specific chief complaint, quality point remains at 7",5,4
Marshfield Medical Center - Weston,marshfield medical center - weston,https://www.hospitalstats.org/hospital-ratings/marshfield-medical-center--weston-weston-wi.htm,Marshfield Medical Center - Weston Ratings,3400 Ministry Parkway,Weston,WI,54476,(715) 393-3000,Acute Care Hospitals,YES,0% better,0.0,better,11.1,15.3,11.8,18.2,11.0,0.0,146.0,AVERAGE,Nurses usually take time to communicate well; Doctors usually communicate well with patients,Staff doesn't respond quickly when patients need help; Patients often don't receive help when they request it,WI,Marathon,wait time rating not available,7,0% better (±0),7,5,4,5,4
Aspirus Wausau Hospital,aspirus wausau hospital,https://www.hospitalstats.org/hospital-ratings/aspirus-wausau-hospital-wausau-wi.htm,Aspirus Wausau Hospital Ratings,333 Pine Ridge Blvd,Wausau,WI,54401,(715) 847-2121,Acute Care Hospitals,YES,2% worse,2.0,worse,11.5,15.8,12.5,18.1,20.0,3.0,162.0,AVERAGE,Nurses usually take time to communicate well; Doctors usually communicate well with patients,Staff doesn't respond quickly when patients need help; Patients often don't receive help when they request it; Facilities are sometimes dirty,WI,Marathon,wait time rating not available,7,2% worse (±0),7,5,4,5,4
Bay Area Medical Center,bay area medical center,https://www.hospitalstats.org/hospital-ratings/bay-area-medical-center-marinette-wi.htm,Bay Area Medical Center Ratings,3003 University Dr,Marinette,WI,54143,(715) 735-4200,Acute Care Hospitals,YES,7% better,7.0,better,,13.2,11.6,16.4,2.0,1.0,156.0,AVERAGE,Nurses usually respond quickly when patients need help; Nurses usually take time to communicate well; Doctors usually communicate well with patients; Patients usually receive help when they request it; Rooms and facilities are usually clean,,WI,Marinette,wait time rating not available,7,7% better (±0),7,"no data for specific chief complaint, quality point remains at 7",5,5,4
Ascension St Francis Hospital,ascension st francis hospital,https://www.hospitalstats.org/hospital-ratings/ascension-st-francis-hospital-milwaukee-wi.htm,Ascension St Francis Hospital Ratings,3237 S 16th St,Milwaukee,WI,53215,(414) 647-5000,Acute Care Hospitals,YES,12% better,12.0,better,,,9.9,16.9,4.0,0.0,125.0,AVERAGE,Nurses usually take time to communicate well; Doctors usually communicate well with patients,Staff doesn't respond quickly when patients need help; Patients often don't receive help when they request it,WI,Milwaukee,wait time rating not available,7,12% better (±1),8,"no data for specific chief complaint, quality point remains at 8","no data for specific chief complaint, quality point remains at 8",7,5
Ascension Se Wisconsin Hospital,ascension se wisconsin hospital,https://www.hospitalstats.org/hospital-ratings/ascension-se-wisconsin-hospital-milwaukee-wi.htm,Ascension Se Wisconsin Hospital Ratings,5000 W Chambers St,Milwaukee,WI,53210,(414) 447-2130,Acute Care Hospitals,YES,4% better,4.0,better,12.9,12.7,13.4,15.4,16.0,2.0,142.0,AVERAGE,Nurses usually take time to communicate well; Doctors usually communicate well with patients; Rooms and facilities are usually clean,Staff doesn't respond quickly when patients need help; Patients often don't receive help when they request it,WI,Milwaukee,wait time rating not available,7,4% better (±0),7,5,5,5,4
Ascension Columbia St Mary's Hospital Milwaukee,ascension columbia st marys hospital milwaukee,https://www.hospitalstats.org/hospital-ratings/ascension-columbia-st-marys-hospital-milwaukee-milwaukee-wi.htm,Ascension Columbia St Mary's Hospital Milwaukee Ratings,2323 N Lake Dr,Milwaukee,WI,53211,(414) 585-1374,Acute Care Hospitals,YES,6% better,6.0,better,12.7,11.7,12.6,16.4,37.0,4.0,175.0,AVERAGE,Nurses usually take time to communicate well; Doctors usually communicate well with patients,Staff doesn't respond quickly when patients need help; Patients often don't receive help when they request it; Facilities are sometimes dirty,WI,Milwaukee,wait time rating not available,7,6% better (±0),7,5,5,5,4
Aurora St Lukes Medical Center,aurora st lukes medical center,https://www.hospitalstats.org/hospital-ratings/aurora-st-lukes-medical-center-milwaukee-wi.htm,Aurora St Lukes Medical Center Ratings,2900 W Oklahoma Ave,Milwaukee,WI,53215,(414) 649-6000,Acute Care Hospitals,YES,19% better,19.0,better,10.4,11.8,9.6,15.8,80.0,16.0,182.0,AVERAGE,Nurses usually take time to communicate well; Doctors usually communicate well with patients,Staff doesn't respond quickly when patients need help; Patients often don't receive help when they request it; Facilities are sometimes dirty,WI,Milwaukee,wait time rating not available,7,19% better (±1),8,6,6,7,5
West Allis Memorial Hospital,west allis memorial hospital,https://www.hospitalstats.org/hospital-ratings/west-allis-memorial-hospital-west-allis-wi.htm,West Allis Memorial Hospital Ratings,8901 W Lincoln Ave,West Allis,WI,53227,(414) 328-6000,Acute Care Hospitals,YES,7% better,7.0,better,12.8,12.1,12.6,15.3,14.0,2.0,214.0,AVERAGE,Nurses usually take time to communicate well; Doctors usually communicate well with patients,Staff doesn't respond quickly when patients need help; Patients often don't receive help when they request it; Facilities are sometimes dirty,WI,Milwaukee,wait time rating not available,7,7% better (±0),7,5,5,5,4
Froedtert Memorial Lutheran Hospital,froedtert memorial lutheran hospital,https://www.hospitalstats.org/hospital-ratings/froedtert-memorial-lutheran-hospital-milwaukee-wi.htm,Froedtert Memorial Lutheran Hospital Ratings,9200 W Wisconsin Ave,Milwaukee,WI,53226,(414) 805-3000,Acute Care Hospitals,YES,12% better,12.0,better,11.8,12.8,11.7,14.1,72.0,12.0,259.0,VERY GOOD,Nurses usually take time to communicate well; Doctors usually communicate well with patients,Staff doesn't respond quickly when patients need help; Patients often don't receive help when they request it; Facilities are sometimes dirty,WI,Milwaukee,wait time rating not available,10,12% better (±1),11,9,9,9,9
Milwaukee Va Medical Center,milwaukee va medical center,https://www.hospitalstats.org/hospital-ratings/milwaukee-va-medical-center-milwaukee-wi.htm,Milwaukee Va Medical Center Ratings,5000 W. National Avenue,Milwaukee,WI,53295,(414) 384-2000,Acute Care - Veterans Administration,YES,13% better,13.0,better,11.5,,11.1,15.2,,,0.0,VERY GOOD,Nurses usually respond quickly when patients need help; Doctors usually communicate well with patients; Patients usually receive help when they request it; Rooms and facilities are usually clean,,WI,Milwaukee,wait time rating not available,10,13% better (±1),11,9,"no data for specific chief complaint, quality point remains at 11",9,8
Childrens Hospital Of Wisconsin,childrens hospital of wisconsin,https://www.hospitalstats.org/hospital-ratings/childrens-hospital-of-wisconsin-milwaukee-wi.htm,Childrens Hospital Of Wisconsin Ratings,9000 W Wisconsin Ave,Milwaukee,WI,53226,(414) 266-3954,Childrens,YES,,,,,,,,,,0.0,POOR,,Staff doesn't respond quickly when patients need help; Nurses often fail to communicate; Doctors often fail to communicate with patients; Patients often don't receive help when they request it; Facilities are sometimes dirty,WI,Milwaukee,wait time rating not available,5,mortality not used,5,"no data for specific chief complaint, quality point remains at 5","no data for specific chief complaint, quality point remains at 5","no data for specific chief complaint, quality point remains at 5","no data for specific chief complaint, quality point remains at 5"
